f.L1_deiquat_1percwater	IV	15466666	15822445	16119104	5.882972365918992	0.15123738050567323
f.L1_etoposide_halfpercDMSO	II	11645604	11872440	12066887	6.500108656457349	0.2356860391758606
f.L1_G418_1percWater	V	1714	194524	1727658	7.6969905549617215	0.18073316283034954
f.L1_praziquantel_1percethanol	II	2663480	2834053	3050463	5.844117417125399	0.090531377301088
f.L1_praziquantel_1percethanol	III	11717471	11975855	12245955	5.7489567883955415	0.23713192112644912
f.L1_vincristine_1percWater	V	632198	870699	1404861	5.987928161534756	0.10488596380559875
f.L2L3_MPTP_1percDMSO	V	1796919	2720261	4288059	6.884752463359659	0.13755813953488374
f.L2L3_OP50_lysate	V	15374496	15783230	15983106	5.8048560483140275	0.15120059288537552
f.L4_arsenictrioxide_1percwater	III	7186324	7815934	8686421	6.182203228708393	0.1530897009966778
f.L4_DA837_lysate	I	12168273	13013679	13867842	6.006637342176567	0.06796090326929559
f.L4_DA837_lysate	II	1499278	2112361	2461866	6.365767465796292	0.09937198067632849
f.L4_DA837_lysate	X	7676407	8483064	9522405	6.423587368199639	0.08413886080215707
f.L4_HT115_lysate	II	13917702	14123542	14612279	6.899816076274669	0.10043762432509237
f.L4_mebendazole_1percDMSO	III	870457	1283160	1652757	6.67946227717192	0.18448956107183948
f.L4_praziquantel_1percethanol	V	905906	1603059	1992554	7.239276748018805	0.1593486545036933
f.L4_silver_1percwater	II	13732097	13927502	14900616	7.262194178509858	0.17417903733693207
f.L4_silver_1percwater	V	1554461	1947485	4098182	6.724479713307848	0.14176279740447004
f.L4_silver_1percwater	X	4735196	5265149	6136327	7.376128928181711	0.2657531402470674
iqr.EXT_albendazole_1percDMSO	II	1701915	2222527	2744327	5.895247656371713	0.11435808513531895
iqr.EXT_albendazole_1percDMSO	II	9223105	9645653	10723378	6.717670739072317	0.17332858724885308
iqr.EXT_albendazole_1percDMSO	III	2646853	2819699	3003007	5.8336648678174745	0.13673591082228953
iqr.EXT_albendazole_1percDMSO	IV	1955111	3354885	6574351	8.2055676837151	0.16798051329875077
iqr.EXT_arsenictrioxide_1percwater	II	7228624	7931252	8468715	6.589370450752937	0.2000641724098745
iqr.EXT_DA1877_lysate	I	12004251	12763211	13425940	6.155012460543723	0.09207161125319692
iqr.EXT_DA837_lysate	V	3467830	4486064	6379489	6.6072068721422905	0.1679015084294587
iqr.EXT_etoposide_halfpercDMSO	II	11645604	11872440	12199892	6.189131025501064	0.2967471708564905
iqr.EXT_K12_lysate	X	2745443	4006197	4911921	6.542946915527802	0.11996339417357262
iqr.EXT_silver_1percwater	II	3439475	3702412	3888751	6.194409953862334	0.13978703344240476
iqr.EXT_silver_1percwater	II	9622511	10131702	10628031	5.7366923681072315	0.12483693207377414
iqr.EXT_silver_1percwater	IV	4078102	4974710	7634038	5.838377591599973	0.14057896637585302
iqr.EXT_silver_1percwater	IV	16270898	16539826	16827161	6.194409953862334	0.13978703344240476
iqr.green_abamectin_1percDMSO	V	4352117	5805043	9353529	6.8187237462419095	0.142131787490595
iqr.green_albendazole_1percDMSO	IV	2785127	3354885	3992694	6.7673232995789	0.1692603602028327
iqr.green_arsenictrioxide_1percwater	II	6964225	7931252	8951456	8.7159585369825745	0.2541829047373945
iqr.green_chlorpromazine_1percethanol	X	4836105	6074284	7260449	6.9360737307710805	0.1853931080793761
iqr.green_DA1877_lysate	II	765294	1146328	1442585	7.21786974162854	0.09664722587392781
iqr.green_DA1877_lysate	X	11378563	12088312	12518573	6.532356344528772	0.11739052751610583
iqr.green_DA837_lysate	V	3448161	4495201	6115694	9.59618757216426	0.21907230666509564
iqr.green_etoposide_halfpercDMSO	I	13108100	14198699	14975929	5.8898949427389535	0.1780554316029551
iqr.green_etoposide_halfpercDMSO	II	11612409	12041264	12199892	7.238698535455385	0.3051214534480933
iqr.green_HT115_lysate	II	13469940	13724697	13924784	6.4437697703641215	0.07246398114742918
iqr.green_HT115_lysate	V	15319226	15716016	15967124	6.117546050771709	0.11638614861256447
iqr.green_JUb71_lysate	II	13469940	13724697	13924784	6.189612592932631	0.09207161125319692
iqr.green_JUb71_lysate	III	2180715	2522301	2732380	5.750725376443308	0.12606893070877495
iqr.green_JUb71_lysate	V	15319403	15716016	15964258	5.775899521601227	0.14304173214597518
iqr.red_arsenictrioxide_1percwater	II	6964225	7892564	12021776	9.667450319021437	0.1909305165119119
iqr.red_chlorpromazine_1percethanol	X	5007809	5995107	9897980	6.667341011526841	0.19477642276422766
iqr.red_DA1877_lysate	X	5887790	8596843	9640417	7.567800289541332	0.06605999325918435
iqr.red_docetaxel_halfpercDMSO	II	12410646	12605525	12765083	7.650969105257982	0.13090777953639327
iqr.red_docetaxel_halfpercDMSO	IV	16814327	17072978	17289322	8.318426506977996	0.17449027975343762
iqr.red_etoposide_halfpercDMSO	II	11836192	12041264	12199892	6.41550613678021	0.31783349614674916
iqr.red_etoposide_halfpercDMSO	V	20205081	20634351	20900332	7.148573467799304	0.15104690044449087
iqr.red_HT115_lysate	X	7712228	8556652	9604351	5.922549987347159	0.06784366987936055
iqr.red_JUb71_lysate	III	2106394	2503365	2719781	5.867391526173904	0.056237579744125986
iqr.red_JUb87_lysate	V	15283455	15529445	16006541	7.641534681813293	0.07830633702756465
iqr.red_JUb87_lysate	V	16792754	16971719	18045135	8.455488210092211	0.1425859619210003
iqr.red_nickel_1percwater	IV	1795243	2671347	12630843	7.029387022571428	0.09848837209302329
iqr.red_zinc_1percwater	X	5344588	6344867	7877922	6.107923019210413	0.33868920124944224
iqr.TOF_albendazole_1percDMSO	II	1104776	1463420	2744327	6.84927637298475	0.14059800664451833
iqr.TOF_albendazole_1percDMSO	II	9223105	9645653	10954817	6.417304731931656	0.15797500395507041
iqr.TOF_albendazole_1percDMSO	III	2646853	2819699	3003007	5.740619655739788	0.12169447385394226
iqr.TOF_albendazole_1percDMSO	IV	1955111	3354885	6574351	9.13658549126096	0.17835528744341472
iqr.TOF_dactinomycin_1percDMSO	III	12249	86979	2344212	7.746907014940844	0.1803756204089736
iqr.TOF_daunorubicin_halfpercDMSO	IV	1471787	1626230	1939413	5.756671353597655	0.11137052384191969
